month,client,tickets_opened,tickets_resolved,first_response_minutes_avg,resolution_hours_avg,sla_breaches,csat_score
2023-01-01,Acme Manufacturing,16,12,27.42,31.47,0,4.45
2023-02-01,Acme Manufacturing,18,16,18.7,7.96,1,4.82
2023-03-01,Acme Manufacturing,22,24,78.09,21.15,0,4.2
2023-04-01,Acme Manufacturing,22,22,82.73,26.7,1,4.82
2023-05-01,Acme Manufacturing,21,18,35.97,8.67,1,4.81
2023-06-01,Acme Manufacturing,23,21,71.96,30.07,0,4.23
2023-07-01,Acme Manufacturing,21,20,19.78,25.15,0,4.84
2023-08-01,Acme Manufacturing,27,23,70.92,12.45,0,4.66
2023-09-01,Acme Manufacturing,29,25,20.79,18.24,0,4.83
2023-10-01,Acme Manufacturing,30,30,77.08,28.65,1,4.63
2023-11-01,Acme Manufacturing,32,32,38.06,7.8,2,4.38
2023-12-01,Acme Manufacturing,36,35,66.93,27.94,1,4.12
2024-01-01,Acme Manufacturing,36,37,59.8,31.57,0,4.58
2024-02-01,Acme Manufacturing,37,34,74.62,17.35,2,4.19
2024-03-01,Acme Manufacturing,42,43,36.34,24.43,0,4.84
2024-04-01,Acme Manufacturing,46,43,69.8,25.29,2,4.39
2024-05-01,Acme Manufacturing,43,40,84.3,22.2,2,4.2
2024-06-01,Acme Manufacturing,43,41,40.27,16.62,1,4.34
2023-01-01,Brightside Retail,18,17,65.87,15.86,1,4.24
2023-02-01,Brightside Retail,23,23,47.24,27.68,0,4.27
2023-03-01,Brightside Retail,28,26,65.14,18.09,1,4.27
2023-04-01,Brightside Retail,31,27,82.89,26.7,0,4.17
2023-05-01,Brightside Retail,35,32,63.57,14.71,2,4.7
2023-06-01,Brightside Retail,41,41,34.17,11.18,0,4.3
2023-07-01,Brightside Retail,44,42,79.18,7.89,1,4.6
2023-08-01,Brightside Retail,43,40,68.14,18.85,1,4.62
2023-09-01,Brightside Retail,39,35,79.95,29.02,2,4.28
2023-10-01,Brightside Retail,43,42,21.62,12.48,3,4.47
2023-11-01,Brightside Retail,46,43,56.24,20.53,1,4.7
2023-12-01,Brightside Retail,49,47,76.68,29.19,2,4.83
2024-01-01,Brightside Retail,52,53,71.54,18.34,1,4.3
2024-02-01,Brightside Retail,58,58,73.14,19.55,3,4.32
2024-03-01,Brightside Retail,55,52,38.57,13.06,2,4.53
2024-04-01,Brightside Retail,53,54,34.65,24.04,3,4.15
2024-05-01,Brightside Retail,55,55,57.07,16.81,1,4.44
2024-06-01,Brightside Retail,60,57,19.41,28.9,3,4.48
2023-01-01,Northwind Legal,26,22,46.08,29.18,1,4.53
2023-02-01,Northwind Legal,30,26,61.43,11.73,0,4.45
2023-03-01,Northwind Legal,26,25,42.2,23.66,1,4.23
2023-04-01,Northwind Legal,29,30,88.61,19.89,2,4.57
2023-05-01,Northwind Legal,35,37,24.04,17.14,2,4.25
2023-06-01,Northwind Legal,35,34,41.57,17.82,1,4.8
2023-07-01,Northwind Legal,35,31,86.49,16.96,2,4.48
2023-08-01,Northwind Legal,39,41,89.99,15.1,2,4.72
2023-09-01,Northwind Legal,45,47,72.3,30.69,1,4.12
2023-10-01,Northwind Legal,43,44,27.09,23.41,2,4.27
2023-11-01,Northwind Legal,43,39,44.56,21.75,3,4.67
2023-12-01,Northwind Legal,41,41,25.78,6.67,1,4.64
2024-01-01,Northwind Legal,43,42,85.79,11.16,2,4.76
2024-02-01,Northwind Legal,42,44,68.2,13.84,2,4.74
2024-03-01,Northwind Legal,47,43,20.96,19.85,2,4.16
2024-04-01,Northwind Legal,53,53,18.91,16.92,2,4.45
2024-05-01,Northwind Legal,54,51,82.19,17.95,1,4.24
2024-06-01,Northwind Legal,58,55,37.45,27.01,3,4.49
2023-01-01,Skyline Nonprofit,33,33,41.21,12.38,2,4.32
2023-02-01,Skyline Nonprofit,36,37,72.03,20.82,2,4.37
2023-03-01,Skyline Nonprofit,39,35,41.4,18.68,1,4.31
2023-04-01,Skyline Nonprofit,39,37,68.49,13.18,0,4.86
2023-05-01,Skyline Nonprofit,36,37,69.85,18.7,2,4.65
2023-06-01,Skyline Nonprofit,42,39,53.34,26.62,1,4.28
2023-07-01,Skyline Nonprofit,41,41,65.81,15.59,2,4.38
2023-08-01,Skyline Nonprofit,45,45,43.33,17.8,1,4.28
2023-09-01,Skyline Nonprofit,44,44,26.61,19.93,2,4.25
2023-10-01,Skyline Nonprofit,43,40,52.86,24.84,3,4.52
2023-11-01,Skyline Nonprofit,43,45,77.95,13.7,1,4.34
2023-12-01,Skyline Nonprofit,47,48,37.75,31.33,2,4.66
2024-01-01,Skyline Nonprofit,45,42,80.53,18.76,3,4.56
2024-02-01,Skyline Nonprofit,48,47,49.71,10.79,1,4.85
2024-03-01,Skyline Nonprofit,51,53,77.19,16.42,1,4.6
2024-04-01,Skyline Nonprofit,47,48,28.74,20.63,1,4.9
2024-05-01,Skyline Nonprofit,44,42,73.04,21.76,2,4.28
2024-06-01,Skyline Nonprofit,48,47,50.44,17.51,3,4.89
